iter	Passed	Remaining
283	14054	19597
284	14098	19539
285	14148	19491
286	14199	19444
287	14241	19384
288	14286	19328
289	14329	19271
290	14374	19215
291	14415	19154
292	14456	19094
293	14496	19033
294	14538	18974
295	14596	18935
296	14638	18877
297	14674	18810
298	14707	18740
299	14739	18670
300	14781	18611
301	14818	18547
302	14850	18477
303	14882	18406
304	14920	18344
305	14956	18280
306	14995	18219
307	15038	18163
308	15069	18092
309	15107	18031
310	15146	17971
311	15186	17912
312	15229	17857
313	15277	17807
314	15327	17760
315	15373	17708
316	15418	17655
317	15466	17606
318	15529	17573
319	15567	17513
320	15609	17457
321	15653	17403
322	15697	17349
323	15743	17298
324	15788	17246
325	15830	17190
326	15871	17133
327	15918	17083
328	15970	17038
329	16017	16987
330	16061	16935
331	16112	16888
332	16157	16836
333	16206	16788
334	16248	16733
335	16292	16680
336	16337	16627
337	16387	16581
338	16451	16548
339	16498	16498
340	16546	16449
341	16592	16398
342	16640	16349
343	16685	16297
344	16727	16242
345	16770	16188
346	16813	16135
347	16861	16086
348	16908	16036
349	16959	15990
350	17004	15938
351	17059	15895
352	17103	15843
353	17152	15795
354	17197	15743
355	17241	15691
356	17286	15640
357	17347	15602
358	17386	15546
359	17425	15489
360	17466	15434
361	17509	15381
362	17559	15334
363	17602	15281
364	17653	15234
365	17697	15182
366	17747	15136
367	17795	15087
368	17840	15036
369	17892	14990
370	17937	14939
371	17983	14889
372	18024	14834
373	18067	14782
374	18115	14733
375	18159	14682
376	18207	14633
377	18272	14598
378	18317	14547
379	18356	14492
380	18401	14440
381	18453	14395
382	18497	14344
383	18544	14294
384	18586	14241
385	18627	14187
386	18670	14135
387	18717	14086
388	18761	14034
389	18803	13982
390	18849	13932
391	18892	13880
392	18946	13836
393	18993	13787
394	19043	13740
395	19088	13689
396	19136	13641
397	19200	13604
398	19237	13548
399	19278	13494
400	19320	13442
401	19362	13390
402	19403	13337
403	19443	13283
404	19483	13229
405	19532	13181
406	19575	13130
407	19626	13084
408	19668	13031
409	19713	12981
410	19758	12931
411	19803	12882
412	19852	12834
413	19899	12785
414	19946	12737
415	19991	12686
416	20038	12638
417	20102	12599
418	20142	12546
419	20173	12488
420	20206	12430
421	20239	12373
422	20268	12314
423	20305	12259
424	20334	12200
425	20365	12143
426	20398	12086
427	20430	12029
428	20463	11972
429	20502	11920
430	20534	11863
431	20570	11808
432	20604	11753
433	20636	11697
434	20677	11645
435	20720	11595
436	20761	11544
437	20802	11493
438	20839	11440
439	20881	11390
440	20937	11347
441	20981	11297
442	21018	11244
443	21061	11194
444	21103	11144
445	21148	11095
446	21192	11046
447	21237	10998
448	21280	10948
449	21328	10901
450	21377	10854
451	21423	10806
452	21469	10758
453	21518	10711
454	21566	10664
455	21611	10616
456	21655	10567
457	21695	10516
458	21734	10464
459	21779	10416
460	21849	10379
461	21886	10327
462	21928	10277
463	21969	10227
464	22011	10177
465	22059	10130
466	22102	10081
467	22148	10033
468	22190	9983
469	22229	9932
470	22272	9883
471	22313	9833
472	22360	9785
473	22399	9734
474	22437	9683
475	22483	9635
476	22522	9585
477	22560	9534
478	22602	9484
479	22646	9436
480	22697	9390
481	22745	9343
482	22785	9293
483	22823	9242
484	22865	9193
485	22905	9143
486	22945	9093
487	22985	9043
488	23029	8995
489	23072	8946
490	23113	8896
491	23161	8850
492	23210	8803
493	23253	8755
494	23296	8706
495	23344	8660
496	23384	8610
497	23425	8561
498	23467	8512
499	23504	8461
500	23553	8415
501	23604	8369
502	23637	8317
503	23670	8265
504	23703	8214
505	23746	8165
506	23788	8117
507	23836	8070
508	23875	8021
509	23922	7974
510	23968	7927
511	24015	7880
512	24066	7834
513	24113	7787
514	24156	7739
515	24195	7690
516	24239	7642
517	24485	7657
518	24570	7622
519	25008	7694
520	25097	7659
521	25209	7630
522	25344	7608
523	25563	7610
524	25686	7583
525	25770	7544
526	25865	7509
527	25984	7480
528	26249	7492
529	26336	7453
530	26464	7425
531	26624	7406
532	26683	7359
533	26718	7304
534	26756	7251
535	26794	7198
536	26832	7145
537	26876	7093
538	26919	7041
539	26974	6993
540	27021	6942
541	27066	6891
542	27116	6841
543	27169	6792
544	27208	6739
545	27246	6686
546	27286	6634
547	27330	6583
548	27376	6532
549	27426	6482
550	27471	6431
551	27513	6380
552	27560	6329
553	27610	6279
554	27654	6228
555	27698	6177
556	27746	6127
557	27793	6076
558	27838	6025
559	27881	5974
560	27925	5923
561	27970	5872
562	28014	5821
563	28076	5774
564	28115	5722
565	28153	5670
566	28193	5618
567	28234	5567
568	28282	5517
569	28330	5467
570	28376	5416
571	28423	5366
572	28474	5317
573	28523	5267
574	28565	5216
575	28611	5165
576	28656	5115
577	28706	5065
578	28751	5015
579	28791	4964
580	28836	4913
581	28884	4863
582	28929	4813
583	28994	4766
584	29035	4715
585	29075	4664
586	29117	4613
587	29163	4562
588	29211	4513
589	29258	4463
590	29300	4412
591	29348	4362
592	29395	4312
593	29447	4263
594	29492	4213
595	29533	4162
596	29576	4111
597	29624	4062
598	29673	4012
599	29716	3962
600	29763	3912
601	29806	3861
602	29846	3811
603	29901	3762
604	29950	3712
605	29991	3662
606	30032	3611
607	30075	3561
608	30123	3511
609	30162	3461
610	30211	3411
611	30254	3361
612	30301	3311
613	30356	3263
614	30400	3213
615	30446	3163
616	30490	3113
617	30537	3063
618	30583	3013
619	30633	2964
620	30677	2914
621	30730	2865
622	30776	2815
623	30837	2767
624	30877	2717
625	30917	2666
626	30962	2617
627	31001	2566
628	31051	2517
629	31096	2467
630	31142	2418
631	31189	2368
632	31237	2319
633	31287	2270
634	31332	2220
635	31377	2170
636	31423	2121
637	31473	2071
638	31523	2022
639	31565	1972
640	31612	1923
641	31651	1873
642	31696	1823
643	31755	1775
644	31799	1725
645	31841	1675
646	31881	1626
647	31929	1576
648	31976	1527
649	32020	1477
650	32065	1428
651	32116	1379
652	32174	1330
653	32222	1281
654	32265	1231
655	32299	1181
656	32345	1132
657	32387	1082
658	32442	1033
659	32491	984
660	32537	935
661	32578	885
662	32628	836
663	32684	787
664	32728	738
665	32766	688
666	32805	639
667	32847	590
668	32896	540
669	32939	491
670	32980	442
671	33025	393
672	33075	344
673	33124	294
674	33172	245
675	33211	196
676	33253	147
677	33302	98
678	33350	49
679	33396	0
